"FECHA","TIPO","NUMERO","R.C.","ORDEN DE","DETALLE","DEB/HAB","GRAVADO","I.V.A.","NO INS.","MON.","GRAVADO","I.V.A.","NO INS.","IVA PER.","0"
"030215","FAP","000500041216","MAT","P2381","","H","1905.62","400.18","0.00","1","0.00","0.00","0.00","0.00","2305.7999999999997"
"230115","FAP","000500040922","PRP","P2381","","H","190.08","39.92","0.00","1","0.00","0.00","0.00","0.00","230"
"050515","FAP","000100049062","AD9","P2472","","H","189.37","39.77","0.00","1","0.00","0.00","0.00","0.00","229.14000000000001"
"140215","FAP","209303601253","VAR","P2273","","H","1848.79","499.17","0.00","1","0.00","0.00","0.00","0.00","2347.96"
"080415","FAP","000400004882","AD9","P0570","","H","183.08","38.45","0.00","1","0.00","0.00","0.00","0.00","221.53000000000003"
"160115","FAP","028701452398","PRP","P2525","","H","18.48","3.88","0.00","1","0.00","0.00","0.00","0.00","22.36"
"010515","FAP","000100047016","AD9","P2134","","H","1779.89","373.78","0.00","1","0.00","0.00","0.00","0.00","2153.67"
"120115","FAP","100100189601","PRP","P0898","","H","1751.82","367.88","0.00","1","0.00","0.00","0.00","0.00","2119.7"
"070515","FAP","000600010694","AD9","P2284","","H","1728.00","362.88","0.00","1","0.00","0.00","0.00","0.00","2090.88"
"190315","FAP","100100198151","MAT","P0898","","H","1701.97","357.41","0.00","1","0.00","0.00","0.00","0.00","2059.38"
"190315","FAP","000100001012","MAT","P2355","","H","16976.70","3565.11","0.00","1","0.00","0.00","0.00","0.00","20541.81"
"220115","FAP","000100171980","PRP","P2045","","H","169.71","35.64","0.00","1","0.00","0.00","0.00","0.00","205.35000000000002"
"050315","FAP","001400020408","MAT","P2188","","H","169.40","35.57","0.00","1","0.00","0.00","0.00","0.00","204.97"
"130115","FAP","000500006447","PRP","P1104","","H","165.28","34.71","0.00","1","0.00","0.00","0.00","0.00","199.99"
"200215","FAP","000400007883","MAT","P0842","","H","164.50","34.55","0.00","1","0.00","0.00","0.00","0.00","199.05"
"050315","FAP","000100006509","MAT","P2282","","H","1603.00","336.63","0.00","1","0.00","0.00","0.00","0.00","1939.63"
"190215","FAP","000400003776","AD9","P0570","","H","160.74","33.76","0.00","1","0.00","0.00","0.00","0.00","194.5"
"010515","FAP","000100047033","MAT","P2134","","H","1594.77","334.90","0.00","1","0.00","0.00","0.00","0.00","1929.67"
"230415","FAP","000100047033","MAT","P2134","","H","1594.77","334.90","0.00","1","0.00","0.00","0.00","0.00","1929.67"
"260215","FAP","000100001879","AD9","P2389","","H","1568.00","329.28","0.00","1","0.00","0.00","0.00","0.00","1897.28"
"040315","FAP","100600275347","MAT","P0898","","H","1546.84","324.84","0.00","1","0.00","0.00","0.00","0.00","1871.6799999999998"
"010515","FAP","209303877815","F19","P2273","","H","153.19","32.17","0.00","1","0.00","0.00","0.00","0.00","185.36"
"250215","FAP","000300064573","MAT","P0570","","H","153.18","32.17","0.00","1","0.00","0.00","0.00","0.00","185.35000000000002"
